région;fédération;sexe;nombre_licencies;code_region;annee
94 - Corse;fédération Française de Football;H;9811;94;2023
94 - Corse;fédération Française de Tir;H;5479;94;2023
94 - Corse;fédération Française de Tennis;H;3302;94;2023
94 - Corse;fédération Française d'équitation;F;2687;94;2023
94 - Corse;fédération Française de Pétanque et Jeu Provençal;H;1802;94;2023
94 - Corse;fédération Française d'études et Sports Sous-Marins;H;1728;94;2023
94 - Corse;fédération Française de Gymnastique;F;1525;94;2023
94 - Corse;fédération Française de Tennis;F;1509;94;2023
94 - Corse;fédération Française de Natation;F;1142;94;2023
94 - Corse;fédération Française d'éducation Physique et de Gymnastique Volontaire;F;1043;94;2023
