région;fédération;sexe;nombre_licencies;code_region;annee
COM - COM;Fédération Française de Natation;F;3414;COM;2023
COM - COM;Fédération Française de Natation;H;3261;COM;2023
COM - COM;Fédération Française de Tennis;H;2276;COM;2023
COM - COM;Fédération Française d'équitation;F;1994;COM;2023
COM - COM;Fédération Française de Golf;H;1662;COM;2023
COM - COM;Fédération Française de Tir;H;1660;COM;2023
COM - COM;Fédération Française d'études et Sports Sous-Marins;H;1652;COM;2023
COM - COM;Fédération Française de Tennis;F;1143;COM;2023
COM - COM;Fédération Française d'études et Sports Sous-Marins;F;1051;COM;2023
COM - COM;Fédération Française de Gymnastique;F;820;COM;2023
