région;fédération;sexe;nombre_licencies;code_region;annee
DROM - DROM;Fédération Française de Football;H;61785;DROM;2023
DROM - DROM;Fédération Française de Tennis;H;12486;DROM;2023
DROM - DROM;Fédération Française de Basketball;H;10305;DROM;2023
DROM - DROM;Fédération Française de Handball;H;8946;DROM;2023
DROM - DROM;Fédération Française de Natation;F;8499;DROM;2023
DROM - DROM;Fédération Française de Handball;F;8206;DROM;2023
DROM - DROM;Fédération Française de Football;F;7326;DROM;2023
DROM - DROM;Fédération Française de Tennis;F;6837;DROM;2023
DROM - DROM;Fédération Française de Judo, Jujitsu, Kendo et Disciplines Associées;H;6640;DROM;2023
DROM - DROM;Fédération Française de Gymnastique;F;6129;DROM;2023
