région;fédération;sexe;nombre_licencies;code_region;annee
ETR - Etranger;Fédération Française de Golf;H;12775;ETR;2023
ETR - Etranger;Fédération Française de Golf;F;5758;ETR;2023
ETR - Etranger;Fédération Française d'équitation;F;5433;ETR;2023
ETR - Etranger;Fédération Française de Tennis;H;2718;ETR;2023
ETR - Etranger;Fédération Française de Voile;H;2705;ETR;2023
ETR - Etranger;Fédération Française des Clubs Alpins et de Montagne;H;2006;ETR;2023
ETR - Etranger;Fédération Française d'équitation;H;1792;ETR;2023
ETR - Etranger;Fédération Française de Voile;F;1538;ETR;2023
ETR - Etranger;Fédération Française de Ski;F;1159;ETR;2023
ETR - Etranger;Fédération Française de Tennis;F;1119;ETR;2023
